answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
902828,1519752,1018522,"PLOT NO. 14, HADAPSAR INDUSTRIAL ESTATE, HADAPSAR",32,81,,PDF_Address,GTI1_JANA_UPI1_202212_D_JANAUPI112220063.txt,"JANASEVA SAHAKARI BANK LTD PUNE PLOT NO. 14, HADAPSAR INDUSTRIAL ESTATE, HADAPSAR INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA JANAUP|112220063 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT A"
902859,1519753,1018524,INTERCHANGE RECEIVED 1 FOR THE MONTH OF MAR-23 997158 FUND TRANSFER TRANSACTIONS 165 63.80,452,542,,PDF_Interchange Fees,GTI1_KSCB_UPI1_202303_D_KSCBUPI103230040.txt,TE: 31-03-2023 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA KSCBUP|103230040 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF MAR-23 997158 FUND TRANSFER TRANSACTIONS 165 63.80 MERCHANT TRANSACTIONS TOTAL 63.80 CGST @ 9% 0.00 SGST/UGST 0.00 IGST @ 18% 11.48 GRAND TOTAL 75.28 TOTAL (AMOUNT IN WORDS) RUPEES SEVENTY FIVE AND TWENTY EIGHT PALSE ONLY FOR THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD. GSTIN: 29AABAT0269J128 PAN: AABATO269 STATE: KARNATAKA DIGITALLY SIGNED BY T
902861,1519753,1018520,KSCBUP|103230040,338,354,,PDF_Invoice Number,GTI1_KSCB_UPI1_202303_D_KSCBUPI103230040.txt,"BANK LTD. NO.1, UTHUNGA, PAMPAMAHAKAVI ROAD CHAMARAJPET, BANGALORE, BENGALURU URBAN, KARNATAKA, 56001 8 INVOICE DATE: 31-03-2023 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA KSCBUP|103230040 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF MAR-23 997158 FUND TRANSFER TRANSACTIONS 165 63.80 MERCHANT TRANSACTIONS TOTAL 63.80 CGST @ 9% 0.00 SGST/UGST 0.00 IGST @ 18% 11.48 GRAND TOTAL 75.28 TOTAL (AMOUN"
902830,1519752,1018521,JANASEVA SAHAKARI BANK LTD,0,26,,PDF_Bank Name,GTI1_JANA_UPI1_202212_D_JANAUPI112220063.txt,"JANASEVA SAHAKARI BANK LTD PUNE PLOT NO. 14, HADAPSAR INDUSTRIAL ESTATE, HADAPSAR INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA JANAUP|112220063 STATE CODE :27 GSTIN :27AAACI11"
902863,1519753,1018526,SGST/UGST 0.00,592,606,,PDF_SGST / UGST @ 9 %,GTI1_KSCB_UPI1_202303_D_KSCBUPI103230040.txt, MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA KSCBUP|103230040 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF MAR-23 997158 FUND TRANSFER TRANSACTIONS 165 63.80 MERCHANT TRANSACTIONS TOTAL 63.80 CGST @ 9% 0.00 SGST/UGST 0.00 IGST @ 18% 11.48 GRAND TOTAL 75.28 TOTAL (AMOUNT IN WORDS) RUPEES SEVENTY FIVE AND TWENTY EIGHT PALSE ONLY FOR THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD. GSTIN: 29AABAT0269J128 PAN: AABATO269 STATE: KARNATAKA DIGITALLY SIGNED BY TEEKAPPA SHARAPPA PUJAR DATE: 2023.04.25 12:56:44 +05:30
902864,1519753,1018529,DIGITALLY SIGNED,821,837,,Signature Remarks,GTI1_KSCB_UPI1_202303_D_KSCBUPI103230040.txt,RANSACTIONS 165 63.80 MERCHANT TRANSACTIONS TOTAL 63.80 CGST @ 9% 0.00 SGST/UGST 0.00 IGST @ 18% 11.48 GRAND TOTAL 75.28 TOTAL (AMOUNT IN WORDS) RUPEES SEVENTY FIVE AND TWENTY EIGHT PALSE ONLY FOR THE KARNATAKA STATE CO-OPERATIVE APEX BANK LTD. GSTIN: 29AABAT0269J128 PAN: AABATO269 STATE: KARNATAKA DIGITALLY SIGNED BY TEEKAPPA SHARAPPA PUJAR DATE: 2023.04.25 12:56:44 +05:30
902867,1519754,1018522,"TULSI TOWER, 9TH B ROAD, SARDARPURA, JODHPUR, 342003",136,188,,PDF_Address,GTI1_MDGX_UPI1_202212_M_0116.txt,"RMGB RAJASTHAN MARUDHARA GRAMIN BANK (JOINT VENTURE OF GOVT. OF INDIA, GOVT. OF RAJ. & SBI) TAX INVOICE RAJASTHAN MARUDHARA GRAMIN BANK TULSI TOWER, 9TH B ROAD, SARDARPURA, JODHPUR, 342003 GSTIN 08AACARO020J1ZW CHARGEABLE UNDER REVERSE CHARGE : NO INVOICE NO. UP|122200116 REF. RECEIPT VOUCHER NO. INVOICE DATE 31-12-2022 BILLED TO CUSTOMER NAME : ICICI BANK LTD GTI ADDRESS UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA EAST MUMBAI MAHARASHTRA 400051 STATE : "
902880,1519755,1018522," NO.51, OPPOSITE MINI CIVIL STATION, MAIN ROAD, TRIPUNITHURA, ERNAKULAM. KERALA. 682301",35,122,,PDF_Address,GTI1_PUBX_UPI1_202212_D_PUBXUPI112220014.txt,"PEOPLES URBAN CO-OPERATIVE BANK LTD NO.51, OPPOSITE MINI CIVIL STATION, MAIN ROAD, TRIPUNITHURA, ERNAKULAM. KERALA. 682301 INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA PUBXUP|112220014 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT A"
902869,1519754,1018521,RMGB RAJASTHAN MARUDHARA GRAMIN BANK,0,36,,PDF_Bank Name,GTI1_MDGX_UPI1_202212_M_0116.txt,"RMGB RAJASTHAN MARUDHARA GRAMIN BANK (JOINT VENTURE OF GOVT. OF INDIA, GOVT. OF RAJ. & SBI) TAX INVOICE RAJASTHAN MARUDHARA GRAMIN BANK TULSI TOWER, 9TH B ROAD, SARDARPURA, JODHPUR, 342003 GSTIN 08AACARO020J1ZW CHARGEABLE UNDER REVERSE CHARGE : NO INVOICE NO. UP|122200116 REF. RECEIPT VOUCHER NO. INVOICE DATE 31-12-2022 BILLED TO CUST"
902874,1519754,1018524,"INTERCHANGE FEES UPI1 DEC, 2022 397158 12,107.70 ",595,644,,PDF_Interchange Fees,GTI1_MDGX_UPI1_202212_M_0116.txt,"O. INVOICE DATE 31-12-2022 BILLED TO CUSTOMER NAME : ICICI BANK LTD GTI ADDRESS UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA EAST MUMBAI MAHARASHTRA 400051 STATE : MAHARASHTRA STATE CODE 27 GSTIN/UIN : 27AAACI1195HSZI SR. NO. DESCRIPTION OF SERVICES HSN CODE VALUE () 1. INTERCHANGE FEES UPI1 DEC, 2022 397158 12,107.70 ADD CGST @ 9% 0.00 ADD SGST/UGST @ 9% 0.00 ADD IGST @ 18% 2,179.39 ADD CESS 0.0 GRAND TOTAL 14,287.09 AMOUNT IN WORDS : RS FOURTEEN THOUSAND TWO HUNDRED EIGHTY SEVEN PAISE NINE ONLY FOR RAJASTHAN MARUDHARA GRAMIN BANK FOR RAJASTHAN MARUDHARA GROMLY BANK SC. MANAGER SERVICE BRANCH, JAIPUR AUTHORISED "
902881,1519755,1018521,PEOPLES URBAN CO-OPERATIVE BANK LTD,0,35,,PDF_Bank Name,GTI1_PUBX_UPI1_202212_D_PUBXUPI112220014.txt,"PEOPLES URBAN CO-OPERATIVE BANK LTD NO.51, OPPOSITE MINI CIVIL STATION, MAIN ROAD, TRIPUNITHURA, ERNAKULAM. KERALA. 682301 INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA PUBXUP|112220014"
902889,1519755,1018524," INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 14 3,50 MERCHANT TRANSACTIONS 18 1.25",432,551,,PDF_Interchange Fees,GTI1_PUBX_UPI1_202212_D_PUBXUPI112220014.txt,"ATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA PUBXUP|112220014 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 14 3,50 MERCHANT TRANSACTIONS 18 1.25 TOTAL 4.75 CGST @ 9% 0.00 SGST/UGST @9%% 0,00 IGST @ 18% 0,86 GRAND TOTAL 5.61 TOTAL (AMOUNT IN SIGNATURE NOT RUPEES FIVE AND SIXTY ONE PAISE ONLY VERIFIED FOR PEOPLES URBAN PRE-ELY VE BANK LTD GSTIN: 32AABAP2630F224 PAN: AABAP2630F 6014 1421:06 8608 203 2941589538 STATE: KERALA O-PERSONAL COIN"
902891,1519755,1018520,PUBXUP|112220014,319,335,,PDF_Invoice Number,GTI1_PUBX_UPI1_202212_D_PUBXUPI112220014.txt,"ERATIVE BANK LTD NO.51, OPPOSITE MINI CIVIL STATION, MAIN ROAD, TRIPUNITHURA, ERNAKULAM. KERALA. 682301 INVOICE DATE: 31-12-2022 CUSTOMER:ICICI BANK LTD. ADDRESS :UNIT NO 503 5TH FLOOR HALLMARKBUSINESS PLAZA SANT DNYANESHWAR MARG BANDRA E INVOICE NO: AST MUMBAI MAHARASHTRA 400051 STATE :MAHARASHTRA PUBXUP|112220014 STATE CODE :27 GSTIN :27AAACI1195HSZI SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED 1 FOR THE MONTH OF DEC-22 997158 FUND TRANSFER TRANSACTIONS 14 3,50 MERCHANT TRANSACTIONS 18 1.25 TOTAL 4.75 CGST @ 9% 0.00 SGST/UGST @9%% 0,00 IGST @ 18% 0,86 GRAND TOTAL 5.61 TOTA"
902894,1519756,1018522,"K.K.TOWER, ABHYUDAYA BANK LANE, OFF.G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI, 400012",28,111,,PDF_Address,ICIC_ABHY_NFS1_202301_D_ABHYNFS101230089.txt,"ABHYUDAYA CO-OPERATIVE BANK K.K.TOWER, ABHYUDAYA BANK LANE, OFF.G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI, 400012 INVOICE DATE: 31-01-2023 CUSTOMER:ICICI BANK LTD. ADDRESS :ICICI BANK TOWER, GROUND FLOOR, BKC ROAD, MUMBAI, 400051 INVOICE NO: STATE :MAHARASHTRA STATE CODE :27 ABHYNFS101230089 GSTIN :27AAACI1195H1ZM SR.NO. DESCRIPTION HSN CODE DETAILS COUNT UNIT AMOUNT(RS.) INTERCHANGE RECEIVED FOR THE MONTH OF "
